filename,DS_TYPENAME,size_node,RECLAIM,ALLOC,POOL,MILLIS_TO_RUN,INS,DEL,RQ,RQSIZE,MAXKEY,PREFILL_THREADS,TOTAL_THREADS,WORK_THREADS,RQ_THREADS,INSERT_FUNC,threads_final_keysum,threads_final_size,final_keysum,final_size,validate_result,tree_stats_height,tree_stats_numInternals,tree_stats_numLeaves,tree_stats_numNodes,tree_stats_numKeys,tree_stats_avgDegreeInternal,tree_stats_avgDegreeLeaves,tree_stats_avgDegree,tree_stats_avgKeyDepth,total_find,total_rq,total_updates,total_queries,total_ops,find_throughput,rq_throughput,update_throughput,query_throughput,total_throughput,PAPI_L1_DCM,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_TOT_INS,maxresident_mb,prefill_elapsed_ms
scaling_threads/step10023.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,96,96,96,0,insertIfAbsent,100009975450277,10000001,100009975450277,10000001,success,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,4364820502,0,0,4364820502,4364820502,145494016,0,0,145494016,145494016,,15.3058,6.15163,1831.03,,1764,258
scaling_threads/step10024.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,144,144,144,0,insertIfAbsent,100005763707654,10000001,100005763707654,10000001,success,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,6350662848,0,0,6350662848,6350662848,211688761,0,0,211688761,211688761,,15.4954,6.20744,1883.16,,1812,309
scaling_threads/step10025.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,190,190,190,0,insertIfAbsent,99975884683725,10000001,99975884683725,10000001,success,6,1625784,11442329,13068113,10000001,8.03804,0.873948,1.76522,4,8363481598,0,0,8363481598,8363481598,278782719,0,0,278782719,278782719,,15.4687,6.24265,1886.87,,1846,368
scaling_threads/step10026.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,24,24,24,0,insertIfAbsent,100013915782409,10000000,100013915782409,10000000,success,9,185259,1275185,1460444,10000000,7.88326,7.842,7.84723,8,940701765,0,0,940701765,940701765,31356725,0,0,31356725,31356725,,16.3553,4.7539,2135.03,,1401,834
scaling_threads/step10027.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,48,48,48,0,insertIfAbsent,100001309644887,10000000,100001309644887,10000000,success,9,185314,1276195,1461509,10000000,7.88666,7.83579,7.84224,8,1712751978,0,0,1712751978,1712751978,57091732,0,0,57091732,57091732,,16.4955,4.81096,2344.22,,1452,740
scaling_threads/step10028.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,96,96,96,0,insertIfAbsent,99973194482104,10000000,99973194482104,10000000,success,9,185380,1275863,1461243,10000000,7.88242,7.83783,7.84349,8,3723900999,0,0,3723900999,3723900999,124130033,0,0,124130033,124130033,,16.5272,5.50372,2143.96,,1547,889
scaling_threads/step10029.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,144,144,144,0,insertIfAbsent,100001469482648,10000000,100001469482648,10000000,success,9,185478,1276367,1461845,10000000,7.8815,7.83474,7.84067,8,5527216917,0,0,5527216917,5527216917,184240563,0,0,184240563,184240563,,16.5295,5.55142,2163.97,,1545,926
scaling_threads/step10030.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,190,190,190,0,insertIfAbsent,100025780212982,10000000,100025780212982,10000000,success,9,185372,1276007,1461379,10000000,7.88349,7.83695,7.84285,8,7289742694,0,0,7289742694,7289742694,242991423,0,0,242991423,242991423,,16.6176,5.60774,2158.49,,1600,912
scaling_threads/step10031.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,24,24,24,0,insertIfAbsent,100002573657696,10000000,100002573657696,10000000,success,29,5714347,4285654,10000001,10000000,1.74998,2.33337,2,22.6873,420436276,0,0,420436276,420436276,14014542,0,0,14014542,14014542,,27.3061,9.24612,4777.71,,1716,1448
scaling_threads/step10032.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,48,48,48,0,insertIfAbsent,100009305495535,10000000,100009305495535,10000000,success,29,5714440,4285561,10000001,10000000,1.74995,2.33342,2,22.7612,789641381,0,0,789641381,789641381,26321379,0,0,26321379,26321379,,28.1136,9.32437,5085.58,,1720,1045
scaling_threads/step10033.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,96,96,96,0,insertIfAbsent,100001877426791,10000000,100001877426791,10000000,success,29,5714769,4285232,10000001,10000000,1.74985,2.3336,2,22.7125,1772077452,0,0,1772077452,1772077452,59069248,0,0,59069248,59069248,,28.3431,10.6554,4524.23,,1735,774
scaling_threads/step10034.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,144,144,144,0,insertIfAbsent,99985376605431,10000000,99985376605431,10000000,success,29,5714554,4285447,10000001,10000000,1.74992,2.33348,2,22.6974,2678784833,0,0,2678784833,2678784833,89292827,0,0,89292827,89292827,,28.4327,10.7434,4484.63,,1745,502
scaling_threads/step10035.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,190,190,190,0,insertIfAbsent,99973600184228,10000000,99973600184228,10000000,success,29,5714283,4285718,10000001,10000000,1.75,2.33333,2,22.7079,3535861675,0,0,3535861675,3535861675,117862055,0,0,117862055,117862055,,28.4246,10.7821,4475.96,,1754,469
scaling_threads/step10036.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,24,24,24,0,insertIfAbsent,99989434925098,10000000,99989434925098,10000000,success,60,9999999,10000000,19999999,10000000,2,1,1.5,31.5025,339729382,0,0,339729382,339729382,11324312,0,0,11324312,11324312,,24.1588,8.59977,5912.91,,1716,1506
scaling_threads/step10037.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0,0,0,1,20000000,48,48,48,0,insertIfAbsent,100011942485395,10000000,100011942485395,10000000,success,62,9999999,10000000,19999999,10000000,2,1,1.5,31.8293,651808749,0,0,651808749,651808749,21726958,0,0,21726958,21726958,,24.0751,8.62491,6162.75,,1720,1062
